"Gene","Module"
"ANKRD24","blue"
"ANKRD26","grey"
"ANKRD27","grey"
"ANKRD28","grey"
"ANKRD29","grey"
"ANKRD33B","blue"
"ANKRD36","grey"
"ANKRD36B","grey"
"ANKRD36C","grey"
"ANKRD37","grey"
"ANKRD39","turquoise"
"ANKRD40","brown"
"ANKRD40CL","salmon"
"ANKRD42","blue"
"ANKRD44","purple"
"ANKRD45","grey"
"ANKRD46","grey"
"ANKRD49","grey"
"ANKRD50","turquoise"
"ANKRD52","brown"
"ANKRD53","blue"
"ANKRD54","turquoise"
"ANKRD6","grey"
"ANKRD60","blue"
"ANKRD62","yellow"
"ANKRD62P1-PARP4P3","yellow"
"ANKRD9","blue"
"ANKS1A","grey"
"ANKS1B","greenyellow"
"ANKS3","blue"
"ANKS4B","grey"
"ANKS6","grey"
"ANKZF1","grey"
"ANLN","magenta"
"ANO1","black"
"ANO10","blue"
"ANO2","grey"
"ANO3","grey"
"ANO4","grey"
"ANO5","yellow"
"ANO6","grey"
"ANO7","blue"
"ANO9","grey"
"ANOS1","black"
"ANP32A","grey"
"ANP32A-IT1","grey"
"ANP32AP1","brown"
"ANP32B","grey"
"ANP32E","turquoise"
"ANPEP","green"
"ANTKMT","blue"
"ANTXR1","black"
"ANTXR2","green"
"ANXA1","black"
"ANXA10","grey"
"ANXA11","brown"
"ANXA13","grey"
"ANXA2","turquoise"
"ANXA2P1","pink"
"ANXA2P2","pink"
"ANXA2R","red"
"ANXA2R-AS1","brown"
"ANXA3","pink"
"ANXA4","lightcyan"
"ANXA5","turquoise"
"ANXA6","grey"
"ANXA7","turquoise"
"ANXA8","grey"
"ANXA8L1","grey"
"ANXA9","yellow"
"AOAH","purple"
"AOC1","pink"
"AOC3","tan"
"AOPEP","grey"
"AOX1","yellow"
"AP1AR","turquoise"
"AP1B1","grey"
"AP1G2","brown"
"AP1M1","black"
"AP1M2","lightcyan"
"AP1S1","pink"
"AP1S2","brown"
"AP1S3","pink"
"AP2A1","brown"
"AP2B1","pink"
"AP2M1","black"
"AP3B1","blue"
"AP3B2","grey"
"AP3D1","brown"
"AP3M2","turquoise"
"AP3S1","grey"
"AP4B1","turquoise"
"AP4E1","turquoise"
"AP4S1","turquoise"
"AP5M1","turquoise"
"AP5S1","brown"
"APAF1","turquoise"
"APBA2","grey"
"APBB1","grey"
"APBB1IP","purple"
"APBB2","black"
"APBB3","brown"
"APC","blue"
"APC2","blue"
"APCDD1","brown"
"APCDD1L","blue"
"APCS","grey"
"APEX1","brown"
"APH1A","blue"
"APH1B","turquoise"
"API5","grey"
"APIP","grey"
"APLN","blue"
"APLNR","red"
"APLP1","green"
"APLP2","pink"
"APMAP","turquoise"
"APOA1","grey"
"APOA4","salmon"
"APOB","salmon"
"APOBEC1","grey"
"APOBEC2","grey"
"APOBEC3A_B","grey"
"APOBEC3C","red"
"APOBEC3D","red"
"APOBEC3F","red"
"APOBEC3G","red"
"APOBR","brown"
"APOC1","grey"
"APOC3","salmon"
"APOC4","blue"
"APOD","grey"
"APOE","grey"
"APOH","greenyellow"
"APOL1","turquoise"
"APOL2","grey"
"APOL3","purple"
"APOL4","grey"
"APOL6","grey"
"APOLD1","grey"
"APOO","brown"
"APOOL","grey"
"APP","grey"
"APPBP2","turquoise"
"APPL1","yellow"
"APPL2","grey"
"APRG1","grey"
"APRT","turquoise"
"APTX","turquoise"
"AQP1","grey"
"AQP10","salmon"
"AQP11","grey"
"AQP12A","green"
"AQP2","blue"
"AQP3","grey"
"AQP5","grey"
"AQP7","midnightblue"
"AQP7P1","midnightblue"
"AQP7P3","tan"
"AQP8","green"
"AQP9","grey"
"AQR","blue"
"AR","grey"
"ARAF","brown"
"ARAP1","black"
"ARAP2","turquoise"
"ARAP3","grey"
"ARB2A","turquoise"
"ARB2BP","grey"
"ARC","blue"
"ARCN1","grey"
"AREG","grey"
"AREL1","brown"
"ARF1","brown"
"ARF3","brown"
"ARF4","grey"
"ARF5","grey"
"ARF6","turquoise"
"ARFGAP1","brown"
"ARFGAP2","grey"
"ARFGAP3","grey"
"ARFGEF1","turquoise"
"ARFGEF2","grey"
"ARFGEF3","grey"
"ARFIP1","turquoise"
"ARFIP2","grey"
"ARG2","grey"
"ARGLU1","turquoise"
"ARHGAP1","brown"
"ARHGAP10","turquoise"
"ARHGAP11A","magenta"
"ARHGAP11B","magenta"
"ARHGAP12","turquoise"
"ARHGAP15","purple"
"ARHGAP17","brown"
"ARHGAP18","grey"
"ARHGAP19","blue"
"ARHGAP20","grey"
"ARHGAP21","pink"
"ARHGAP23","grey"
"ARHGAP24","grey"
"ARHGAP25","red"
"ARHGAP26","pink"
"ARHGAP27","turquoise"
"ARHGAP27P1-BPTFP1-KPNA2P3","grey"
"ARHGAP27P2","blue"
"ARHGAP28","grey"
"ARHGAP29","grey"
"ARHGAP30","purple"
"ARHGAP31","grey"
"ARHGAP32","pink"
"ARHGAP35","grey"
"ARHGAP39","blue"
"ARHGAP4","red"
"ARHGAP40","blue"
"ARHGAP42","green"
"ARHGAP44","grey"
"ARHGAP45","red"
"ARHGAP5","turquoise"
"ARHGAP5-AS1","grey"
"ARHGAP6","grey"
"ARHGAP9","red"
"ARHGDIA","brown"
"ARHGDIB","red"
"ARHGDIG","green"
"ARHGEF1","red"
"ARHGEF10","grey"
"ARHGEF10L","green"
"ARHGEF11","grey"
"ARHGEF12","grey"
"ARHGEF15","midnightblue"
"ARHGEF16","grey"
"ARHGEF17","brown"
"ARHGEF18","grey"
"ARHGEF2","yellow"
"ARHGEF25","turquoise"
"ARHGEF26","grey"
"ARHGEF28","lightcyan"
"ARHGEF3","grey"
"ARHGEF35","pink"
"ARHGEF37","grey"
"ARHGEF38","lightcyan"
"ARHGEF4","turquoise"
"ARHGEF40","grey"
"ARHGEF5","grey"
"ARHGEF6","purple"
"ARHGEF7","turquoise"
"ARHGEF9","brown"
"ARID1A","brown"
"ARID1B","brown"
"ARID2","blue"
"ARID3A","blue"
"ARID4A","grey"
"ARID4B","turquoise"
"ARID5A","grey"
"ARID5B","grey"
"ARIH1","grey"
"ARIH2","grey"
"ARIH2OS","blue"
"ARK2N","turquoise"
"ARL1","grey"
"ARL13B","turquoise"
"ARL14","grey"
"ARL14EP","grey"
"ARL15","blue"
"ARL17A","grey"
