"Gene","Module","MM","MM_pval","GS_Tumor","GS_pval","SignificantModule"
"CBLB","black",0.807035964530799,1.33780598302288e-56,0.297306089797761,2.625917131351e-06,TRUE
"GNS","black",0.806851147234286,1.48206218448841e-56,0.314286420091973,6.34381029548864e-07,TRUE
"TOP6BL","pink",0.806824524598252,1.50407250531692e-56,0.508491887125495,2.983891182171e-17,TRUE
"ANOS1","black",0.806483121620029,1.8166984826417e-56,0.52605394193959,1.48892775774908e-18,TRUE
"EDIL3","black",0.805870426053242,2.54717912894705e-56,0.546336698716873,3.73418149582844e-20,TRUE
"ZFHX4","black",0.805647551451246,2.87952759729622e-56,0.302610993451429,1.70096883627097e-06,TRUE
"NQO1","pink",0.805531519160885,3.0691837682167e-56,0.608034094341808,9.34958504070916e-26,TRUE
"EFNA5","pink",0.805376519209161,3.34193939901505e-56,0.596084118724789,1.41481539433354e-24,TRUE
"TNFRSF21","pink",0.805370459075817,3.35307722554737e-56,0.532424815805124,4.80448154205519e-19,TRUE
"CLDN4","pink",0.805333160904275,3.42244010951592e-56,0.44731256173593,2.93938206439545e-13,TRUE
"ERN2","pink",0.804754968392012,4.69826447880018e-56,0.50474419564413,5.5337299477097e-17,TRUE
"YWHAB","black",0.804013459272276,7.04259737967668e-56,0.431731341914708,2.31287962225044e-12,TRUE
"NECTIN4","pink",0.803958115796786,7.25810712564977e-56,0.512802972646125,1.45251211446596e-17,TRUE
"SBF2","black",0.803109363687572,1.1509540270689e-55,0.333346565675366,1.15548010587024e-07,TRUE
"PYGB","pink",0.803049093563103,1.18915783349945e-55,0.59199867941758,3.49058357632722e-24,TRUE
"PEAK1","black",0.801776808868264,2.36300591410303e-55,0.256015799569488,5.79546737776578e-05,TRUE
"IFITM2","black",0.801677856465113,2.49211675733917e-55,0.287930170790701,5.54017286164205e-06,TRUE
"INHBA","black",0.801192423053105,3.23384440326592e-55,0.546155830110857,3.8632394020494e-20,TRUE
"GSTA3","black",-0.800398702179156,4.94373945511374e-55,-0.349208158847213,2.55762750050811e-08,TRUE
"ALDOA","pink",0.800310210627973,5.18269424673554e-55,0.559927093152586,2.73811777149815e-21,TRUE
"MMP14","black",0.800176063863674,5.56688767856504e-55,0.617456767319669,1.01072005201553e-26,TRUE
