"Gene","logFC","AveExpr","t","P.Value","adj.P.Val","B","status"
"HERC2P3",0.0358191983956324,7.15558123681665,1.0494010562866,0.295040433261136,0.36689936582978,-6.37162058134263,"Not Significant"
"TRIM62",-0.0313653474574789,5.94169520857323,-1.04929728814617,0.295088076780585,0.366935768263425,-6.37172837510613,"Not Significant"
"PRPF40B",-0.0320573525257188,6.30547175296437,-1.04891999696344,0.295261347833852,0.367128371615623,-6.37212021405961,"Not Significant"
"LOC442132",0.0617378795574908,5.5641581309205,1.04885637848232,0.295290571388948,0.367141853278733,-6.37218627181498,"Not Significant"
"ZNF804A",-0.0209585138686537,3.72365369141257,-1.04847214292305,0.295467113883045,0.367338487034729,-6.37258515542365,"Not Significant"
"DRD2",-0.040244858443061,5.99772795645465,-1.04828204799699,0.295554481992903,0.367424237463512,-6.37278244371157,"Not Significant"
"OR51G2",-0.0298392556659781,3.98032056780358,-1.0480246829492,0.29567279535455,0.367548445009447,-6.37304949120139,"Not Significant"
"ATP6V1C2",0.0458642990203693,4.91435132181043,1.04765534775134,0.295842638289792,0.367736689103261,-6.37343260779551,"Not Significant"
"RENBP",0.0499080692294323,5.59657746314102,1.04720653511439,0.296049118251988,0.367970447290928,-6.37389798735814,"Not Significant"
"THG1L",-0.0738446556369139,6.39524364859819,-1.04709883377889,0.296098681576991,0.368009151006087,-6.37400963485276,"Not Significant"
"IVNS1ABP",0.129268013658102,8.90728035780296,1.04647501656798,0.296385867362909,0.368343162935959,-6.37465608480296,"Not Significant"
"SLC9C2",-0.0272820489572649,3.32435539312524,-1.04639815552065,0.296421264738614,0.368364234547943,-6.37473570803463,"Not Significant"
"RASGEF1B",0.0931813728434614,7.01400278761031,1.04617123334873,0.296525787456997,0.36847120061379,-6.37497075138253,"Not Significant"
"CTBP1",-0.0511064989379317,8.36412724885709,-1.04602959245274,0.296591041304944,0.368529359814927,-6.3751174357711,"Not Significant"
"VRK2",0.047527895302621,7.14112213370111,1.0452327867374,0.296958309185157,0.368962756137368,-6.37594224705892,"Not Significant"
"EEF1A2",-0.066839021071841,6.55172003308159,-1.04512899600687,0.297006171471317,0.36899927032208,-6.37604963990562,"Not Significant"
"HS3ST3A1",-0.0633141240153217,6.01096718615561,-1.04500036378595,0.297065496419245,0.369050020243688,-6.37618272171624,"Not Significant"
"CENPB",-0.0362138585390728,6.25566259353723,-1.04476197605895,0.297175461485561,0.369163671105951,-6.37642931273224,"Not Significant"
"ZNF316",-0.0580992078599332,6.83087647742002,-1.0445907802308,0.297254448720772,0.369229794105474,-6.37660636527911,"Not Significant"
"DPPA3",-0.0354187774855088,3.57358973617539,-1.04452925410582,0.29728283941867,0.369229794105474,-6.37666998922889,"Not Significant"
"NAAA",0.0646434607029303,7.35064366626974,1.04452642087793,0.297284146831092,0.369229794105474,-6.37667291897045,"Not Significant"
"CRYZ",-0.10104284557041,8.73174430145496,-1.04418038555205,0.297443856286151,0.369405184695616,-6.37703068274747,"Not Significant"
"CEP126",0.0819699514755952,5.83265007964339,1.04406015626051,0.297499360526896,0.369451145682929,-6.37715495956895,"Not Significant"
"ERCC4",-0.0478786495973464,5.76035623717432,-1.04349827438042,0.297758847450284,0.369750402174198,-6.37773556925613,"Not Significant"
"FRS2",0.0468330123760907,7.24449645688036,1.04343627680092,0.29778748834067,0.369762979741175,-6.3777996142736,"Not Significant"
"SNORD77",0.0624234426730741,3.32925112592514,1.04300347039291,0.297987482597838,0.36998831214081,-6.378246608842,"Not Significant"
"SCX",-0.057563878047314,5.32789870644629,-1.04199266213383,0.298454915652716,0.370545654229696,-6.37928983739926,"Not Significant"
"PIP5K1C",0.0620219355995797,6.95664102199676,1.04186249176871,0.298515146765588,0.370597398315362,-6.37942410994665,"Not Significant"
"TRGV3",-0.0470345739629359,4.38523766819628,-1.04172830227991,0.298577246114961,0.370651455183358,-6.37956251087461,"Not Significant"
"BTRC",-0.0423730999381426,6.80738435115415,-1.04163493863384,0.29862045746271,0.37068205937233,-6.37965879424893,"Not Significant"
"YAF2",-0.0475280802432456,6.57499592040725,-1.04121278249699,0.298815895759996,0.370892707796677,-6.38009404556818,"Not Significant"
"SCGB2A2",-0.0234336614893396,3.67411583888433,-1.04118817004541,0.298827292809248,0.370892707796677,-6.38011941609803,"Not Significant"
"KIT",0.107473892379986,6.46927737810234,1.04016310014626,0.299302221294277,0.371459088364103,-6.38117553093209,"Not Significant"
"STK31",0.0390191210251407,3.70975922134827,1.04012013080955,0.299322140618342,0.37146072921471,-6.38121977911109,"Not Significant"
"SELENOS",0.0421245352991333,7.0778973072259,1.03968136353261,0.299525591200083,0.371690119199209,-6.38167150117593,"Not Significant"
