"Gene","logFC","AveExpr","t","P.Value","adj.P.Val","B","status"
"OR10AD1",-0.0638408703727804,3.64907287426698,-2.93068951018532,0.00370571815539784,0.00850488503227812,-2.72190085621623,"Not Significant"
"CRTC1",-0.136296249934995,6.83830069451312,-2.93064080444036,0.00370627894214506,0.00850519480588298,-2.72203789776202,"Not Significant"
"RAB1C",0.251365098819893,6.50765024220968,2.93054094013653,0.00370742899953949,0.00850685661537069,-2.72231887561586,"Not Significant"
"YWHAQ",0.176446144004627,10.4387383539104,2.93008722727101,0.00371265815980485,0.00851787664644407,-2.72359532831375,"Not Significant"
"FANCD2OS",-0.110718489275719,4.38988680246178,-2.93002315814674,0.00371339711669221,0.00851859354643507,-2.7237755623064,"Not Significant"
"FAM83F",-0.148106345989718,5.46027063214236,-2.92987113482692,0.0037151510531421,0.00852163839405837,-2.72420320713165,"Not Significant"
"H2AC4",0.212183126780202,4.77364187650753,2.92932332068406,0.00372147762833496,0.0085351698413552,-2.72574404863454,"Not Significant"
"ZC3H8",-0.163405858215917,6.33559681961766,-2.92905534034291,0.00372457605751667,0.00854129531261055,-2.72649770153329,"Not Significant"
"PRSS35",-0.104033899167248,4.22887693338451,-2.92900626666857,0.00372514371029498,0.00854161640103684,-2.72663570663319,"Not Significant"
"FBXO7",0.165352763008045,8.47143717859814,2.92852549946805,0.0037307091033319,0.00855339573346548,-2.72798760743128,"Not Significant"
"KLRF1",-0.131403096780419,3.32704629390192,-2.92839529746833,0.00373221763845901,0.00855587227253304,-2.72835369541877,"Not Significant"
"LINC02939",-0.1581688518043,7.27382032031853,-2.92835489505352,0.00373268585882622,0.00855596366125717,-2.7284672915056,"Not Significant"
"XCL2",-0.0936177837678245,3.43992609399318,-2.92808961297923,0.00373576152638507,0.00856203106460302,-2.72921312666329,"Not Significant"
"GSG1L",-0.128237053632687,5.77812914617092,-2.92797575686032,0.00373708227948281,0.00856407543028794,-2.72953321153562,"Not Significant"
"RWDD3",-0.222390486536301,5.29640786502909,-2.9271371688227,0.00374682322792244,0.00858541323328242,-2.73189038572536,"Not Significant"
"SLC25A51P4",-0.0841602338039626,4.62778494074974,-2.92707444867702,0.00374755271091247,0.00858609977606855,-2.73206665955218,"Not Significant"
"FEN1",0.130576868520651,5.50700835119609,2.926865413968,0.00374998488149173,0.00859068677863468,-2.73265412240577,"Not Significant"
"LINC00208",-0.0617360353811462,4.0173772061061,-2.9267780184933,0.00375100217735711,0.00859203182230859,-2.73289972360241,"Not Significant"
"ELOA2",-0.0836789441757908,3.58363586998325,-2.92639331821597,0.00375548314513692,0.00860130952195445,-2.73398073786407,"Not Significant"
"COL24A1",0.125807028513148,4.92705118936042,2.92594327647566,0.00376073141976811,0.00861234228140887,-2.73524519483471,"Not Significant"
"ASPG",-0.134006834156312,6.09467465676468,-2.92558666928906,0.00376489484614348,0.00862088841647024,-2.73624700542361,"Not Significant"
"AAMP",0.140333268992477,7.24112055381673,2.92530824905263,0.00376814836136829,0.0086273493087999,-2.73702908769857,"Not Significant"
"CLEC17A",-0.18851698885992,5.75503634555272,-2.92427191649673,0.00378028116690953,0.00865413593442417,-2.7399395361891,"Not Significant"
"SLC5A7",-0.0905937409801081,3.87573030366843,-2.9241864202038,0.00378128370338604,0.0086554389974138,-2.74017960210677,"Not Significant"
"MME",0.441332061940883,5.8748880581526,2.92377292134334,0.00378613585688391,0.00866555260747097,-2.74134057756244,"Not Significant"
"ZPBP2",-0.080989465512046,3.25525574531108,-2.92364829468896,0.00378759938980229,0.00866790905269375,-2.74169046024439,"Not Significant"
"SOX7",-0.176837866995004,5.95664491895368,-2.92343680145952,0.00379008421013047,0.00867230192667067,-2.7422841844223,"Not Significant"
"HCFC1",0.241544865063711,6.958468026774,2.92341101338649,0.00379038729447456,0.00867230192667067,-2.74235657645096,"Not Significant"
"LINC00839",-0.109392872578248,6.02025016025387,-2.92332926093459,0.00379134826841563,0.00867350707975419,-2.74258606721141,"Not Significant"
"SAR1A",0.122897376323783,9.42784279860254,2.92268401631578,0.00379894073417008,0.00868988115257825,-2.74439715092532,"Not Significant"
"GSK3A",0.203044927305643,7.87283235729945,2.9221534928637,0.00380519371025748,0.00870318781274281,-2.74588595442641,"Not Significant"
"TSPAN2",0.275481164479999,6.46822421118359,2.9216125278911,0.0038115794434368,0.00871679503128081,-2.7474038007336,"Not Significant"
"WNT10B",-0.169264067760066,5.93149279819168,-2.92146532613252,0.00381331875768275,0.00871977434069322,-2.7478167759843,"Not Significant"
"CCR1",0.233499361194436,5.60074024006373,2.92122741696625,0.00381613139150933,0.00872520700709791,-2.7484841903448,"Not Significant"
"MPPED1",-0.139510351038878,6.65321410108312,-2.92089685127221,0.00382004258738496,0.00873314989589415,-2.74941145307066,"Not Significant"
"KCNH3",-0.126789224940978,5.77475839361144,-2.92064656756717,0.00382300633825215,0.00873892522319162,-2.75011345351299,"Not Significant"
"GPR17",-0.0978187602645164,4.53389147418063,-2.92042341686528,0.00382565056447006,0.00874396891803696,-2.75073930355988,"Not Significant"
"NTN1",-0.120214660539689,7.03149734015758,-2.920262381679,0.00382755979091948,0.00874733172354985,-2.75119091632639,"Not Significant"
"CSAG1",-0.0851498647028355,3.98835462716546,-2.92015581489296,0.00382882372121487,0.00874921919775149,-2.75148976323527,"Not Significant"
"ZC3H3",0.0990857771018279,6.34175387749845,2.91943558384251,0.00383737599626965,0.00876775888234844,-2.75350925218944,"Not Significant"
"OR1L6",-0.0725256175488336,3.04027815212577,-2.91901589246832,0.00384236760786963,0.00877783781240114,-2.75468583019733,"Not Significant"
"CHKA",-0.191762190609814,7.49823803200169,-2.91899080640729,0.00384266615758664,0.00877783781240114,-2.7547561523804,"Not Significant"
"HBG1",-0.112811917901923,4.72918894743385,-2.91874003453217,0.00384565176448519,0.00878322212823621,-2.75545909453063,"Not Significant"
"HNRNPL",0.0952885620882284,9.15168031203327,2.91871159683566,0.00384599046812135,0.00878322212823621,-2.7555388050847,"Not Significant"
"PLAC9",-0.181652148088737,5.56272284592969,-2.91865339006865,0.00384668381759184,0.00878322212823621,-2.75570195576435,"Not Significant"
"PRSS36",-0.0986024123056826,5.72958059511794,-2.91864513366948,0.00384678217571895,0.00878322212823621,-2.75572509779615,"Not Significant"
"OS9",-0.153693667624987,9.14811430987737,-2.91839988414241,0.00384970487138912,0.00878889074192779,-2.75641248495841,"Not Significant"
"FBN3",-0.0994788644541993,4.87366961915417,-2.91726725949558,0.00386322897569111,0.00881875834976619,-2.75958631564952,"Not Significant"
"NEUROG1",-0.149497671433932,5.20076095793038,-2.91722885886934,0.00386368825860101,0.0088187989118154,-2.7596939014312,"Not Significant"
"MIR128-2",-0.119510673057028,3.5506204028668,-2.91697500964369,0.00386672562655987,0.00882472322496651,-2.76040506934464,"Not Significant"
"VPS8",0.19302850531578,6.97455105018878,2.9168108391741,0.00386869112835315,0.00882820022823328,-2.76086496824172,"Not Significant"
"FAM30A",-0.13703539806016,5.36461658400082,-2.91656528890719,0.00387163263983178,0.00883390339821796,-2.76155279541331,"Not Significant"
"AKAP5",0.137082374075868,3.99971929178174,2.91618992682242,0.00387613315263261,0.00884316203205982,-2.76260414285276,"Not Significant"
"RRN3P2",0.174379970798636,8.52077494264421,2.91614388645002,0.00387668549616332,0.00884341207176406,-2.76273308813604,"Not Significant"
"CRYBB2",-0.122185734963837,5.68369689872341,-2.91591343167272,0.00387945132948391,0.00884871084333808,-2.76337849439185,"Not Significant"
"BLNK",-0.251760146812117,6.74505761561292,-2.91496412990916,0.00389086352681099,0.00887372780138419,-2.76603658575295,"Not Significant"
"ZC3HC1",-0.0684253687312166,5.854076440867,-2.91482132263314,0.00389258296211814,0.00887663569874959,-2.76643638334723,"Not Significant"
"PYROXD2",0.111715435729588,5.56707270860709,2.91466595921973,0.00389445436518901,0.00887988943953029,-2.76687131188456,"Not Significant"
"RNF152",0.17836294668701,6.65636958839933,2.91430694501982,0.00389878195443058,0.00888788217198711,-2.76787626332904,"Not Significant"
"SERPINF2",-0.105021957478708,5.37314416074191,-2.91430132909935,0.00389884968413693,0.00888788217198711,-2.76789198248037,"Not Significant"
"OR51A4",-0.10346725108413,3.90070408367935,-2.91402416431015,0.0039021937121453,0.00889449015250373,-2.76866774103661,"Not Significant"
"MMP20",-0.0634168704813107,3.74650807007382,-2.91398167262301,0.00390270661136576,0.00889464420988358,-2.76878666525452,"Not Significant"
"VPREB3",-0.14731073541069,5.53339560434221,-2.91378753521824,0.0039050507459296,0.00889897131764949,-2.76932998954582,"Not Significant"
"MAPRE3",0.19037450640182,6.11611611283915,2.91327289031555,0.00391127111372045,0.00891212973139999,-2.77077014167706,"Not Significant"
"GSTT4",-0.0606214923988468,3.35814026019032,-2.91314551985359,0.00391281200180739,0.00891462380792755,-2.77112653112971,"Not Significant"
"RAB4A",-0.196209329894431,6.62238862822603,-2.91292115262681,0.00391552767589866,0.00891979354452554,-2.77175428747891,"Not Significant"
"ZNF264",0.116579473451571,7.28773579635599,2.91175212703898,0.00392970510157643,0.00895106964293392,-2.77502437168929,"Not Significant"
"BRPF1",0.124308003054646,6.67879564631486,2.91162806052807,0.0039312124755376,0.00895348209650947,-2.77537134786611,"Not Significant"
"FHL5",-0.291258870829597,5.75716671632401,-2.91140891276222,0.00393387635156688,0.0089585276760001,-2.77598420364984,"Not Significant"
"NAGK",0.245979694294517,8.9387139483441,2.91108273661486,0.00393784427818192,0.00896654145148264,-2.77689628914047,"Not Significant"
"CCDC89",-0.080773774330682,4.18491207885958,-2.91086354654681,0.00394051277541242,0.00897159491349455,-2.77750915625674,"Not Significant"
"MAGEA11",-0.0804281922908494,3.68924429446903,-2.91079412841479,0.00394135824071071,0.00897249709368085,-2.77770324409049,"Not Significant"
"INKA1",-0.0943213891739259,4.96722436579773,-2.91075297907161,0.00394185948977219,0.00897261554971051,-2.77781829249821,"Not Significant"
"LINC02903",-0.0697577254318427,3.62206627178579,-2.91020406542107,0.00394855149928242,0.00898682402537228,-2.77935284136118,"Not Significant"
"LINC00052",-0.0791449483777629,3.37434579468477,-2.91016140538406,0.00394907201807651,0.00898698467461093,-2.77947209092378,"Not Significant"
"S1PR5",-0.11768081209213,6.59747305811579,-2.90972691761599,0.00395437701688186,0.00899803218673938,-2.78068654178818,"Not Significant"
"SPINK9",-0.0589820276894084,3.22860771848871,-2.90914705111588,0.00396146720192962,0.00901313884170659,-2.78230708225971,"Not Significant"
"IL17B",-0.080675096667421,5.16232808996517,-2.90909241357155,0.00396213586844738,0.00901363346655672,-2.78245976111938,"Not Significant"
"PIGY",-0.111559291231366,8.46253855871126,-2.9086813767644,0.00396716953605375,0.0090240569767837,-2.78360827450292,"Not Significant"
"FAHD2A",-0.141327550812191,6.764695605045,-2.90842021307873,0.00397037085190385,0.00903031056660528,-2.78433793591203,"Not Significant"
"MCM5",0.151083771371947,6.90572451145254,2.90834874447662,0.00397124731742855,0.00903127563683456,-2.78453760035737,"Not Significant"
"REDIC1",-0.0528417415637472,3.13258750609119,-2.90823124581831,0.0039726886634216,0.00903352497303997,-2.7848658507161,"Not Significant"
