"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0010232","GO:0010232","vascular transport","8/299","88/18805",0.0909090909090909,5.71754332623898,5.63823989011509,7.94494439088047e-05,0.00417415155305489,0.00347776270259918,"SLC2A1/SLC6A6/SLC7A2/SLC1A2/SLC16A12/CD36/SLC38A3/SLC4A4",8
"GO:0150104","GO:0150104","transport across blood-brain barrier","8/299","88/18805",0.0909090909090909,5.71754332623898,5.63823989011509,7.94494439088047e-05,0.00417415155305489,0.00347776270259918,"SLC2A1/SLC6A6/SLC7A2/SLC1A2/SLC16A12/CD36/SLC38A3/SLC4A4",8
"GO:0090303","GO:0090303","positive regulation of wound healing","7/299","66/18805",0.106060606060606,6.67046721394548,5.86572964772476,8.35943511805032e-05,0.00432537438305179,0.00360375647912121,"PLAU/FERMT1/PLAT/DUOX2/CD36/REG3G/REG3A",7
"GO:0033627","GO:0033627","cell adhesion mediated by integrin","8/299","89/18805",0.0898876404494382,5.6533012663936,5.5931194222427,8.61089231612977e-05,0.00438898466560943,0.00365675442741536,"ITGA2/ITGB4/ITGA3/PLAU/ITGA11/FERMT1/ITGB6/ADAM9",8
"GO:0015909","GO:0015909","long-chain fatty acid transport","7/299","67/18805",0.104477611940299,6.57090800179703,5.8063900563173,9.20924005127883e-05,0.00462493452575253,0.00385333991619299,"SLC2A1/ACSL5/SPX/PPARG/CD36/PLA2G1B/FABP4",7
"GO:0010837","GO:0010837","regulation of keratinocyte proliferation","6/299","48/18805",0.125,7.8616220735786,6.05020597518327,0.000107555765844417,0.00532323101969109,0.00443513707211991,"CDH3/SFN/EFNB2/CD109/REG3G/REG3A",6
"GO:0030193","GO:0030193","regulation of blood coagulation","7/299","69/18805",0.101449275362319,6.38044690029567,5.69126611063785,0.000111201494654651,0.00542504434636617,0.00451996451205294,"PLAU/PLAT/CEACAM1/F11/FAP/CD36/TSPAN8",7
"GO:0030509","GO:0030509","BMP signaling pathway","11/299","176/18805",0.0625,3.9308110367893,4.96539516930413,0.000122558347424119,0.00589488389370939,0.00491141902279309,"ITGA3/SULF1/RUNX2/LEF1/DKK1/GREM1/COMP/PPARG/PDCD4/SLC39A5/TNFAIP6",11
"GO:0015695","GO:0015695","organic cation transport","9/299","120/18805",0.075,4.71697324414716,5.1920389684059,0.000128798926544522,0.00602842241639674,0.00502267882916557,"SLC6A14/SLC6A6/SLC7A2/SLC1A2/SLC43A1/SLC16A10/AQP8/PDZK1/SLC38A3",9
"GO:0030216","GO:0030216","keratinocyte differentiation","11/299","177/18805",0.0621468926553672,3.90860306483004,4.94188246831366,0.000128865252239228,0.00602842241639674,0.00502267882916557,"CDH3/SFN/SCEL/KRT17/ADAM9/KRT7/CD109/KRT6C/KRT6A/REG3G/REG3A",11
