"Gene","Module","MM","MM_pval","GS_adjacent_non_tumor","pval_GS_adjacent_non_tumor","GS_Tumor","pval_GS_Tumor","SignificantModule","HubGene"
"COL5A1","green",0.742414732403674,1.83170367568748e-43,-0.475068302839906,5.68704030678801e-15,0.475068302839906,5.68704030678801e-15,TRUE,FALSE
"COL5A2","green",0.89828872576829,2.53127128466816e-87,-0.43514715393761,1.48471736548922e-12,0.43514715393761,1.48471736548922e-12,TRUE,TRUE
"COL6A3","green",0.908706824765169,1.18631348274104e-92,-0.435467844185269,1.42383362980869e-12,0.435467844185269,1.42383362980869e-12,TRUE,TRUE
"COL8A1","green",0.823214112352479,1.08645193195733e-60,-0.477984000510302,3.67904279076918e-15,0.477984000510302,3.67904279076918e-15,TRUE,TRUE
"COMP","green",0.769229034771394,2.16441608258853e-48,-0.472123296532928,8.79271365440202e-15,0.472123296532928,8.79271365440202e-15,TRUE,FALSE
"CORIN","green",0.683533480265581,1.57820824899296e-34,-0.452623346847027,1.42007111537421e-13,0.452623346847027,1.42007111537421e-13,TRUE,FALSE
"CORO1C","green",0.883065991659315,1.70274001795111e-80,-0.472651785179798,8.13387612882574e-15,0.472651785179798,8.13387612882574e-15,TRUE,TRUE
"CPNE8","green",0.777367724888006,5.07756088948352e-50,-0.353769748872876,1.63174384803718e-08,0.353769748872876,1.63174384803718e-08,TRUE,FALSE
"CSGALNACT2","green",0.875800986069015,1.45302207746597e-77,-0.408466785655045,4.16177695106197e-11,0.408466785655045,4.16177695106197e-11,TRUE,TRUE
"CSTB","green",0.71413396545808,6.8638362438631e-39,-0.51365104081133,1.2591887548947e-17,0.51365104081133,1.2591887548947e-17,TRUE,FALSE
"CTHRC1","green",0.775681927980333,1.11901540977177e-49,-0.533460966666444,3.98813947967864e-19,0.533460966666444,3.98813947967864e-19,TRUE,FALSE
"CTNNA1","green",0.739926017304718,4.8879929579161e-43,-0.485688062022654,1.14079162379207e-15,0.485688062022654,1.14079162379207e-15,TRUE,FALSE
"CTNNB1","green",0.878041910020406,1.89752343881309e-78,-0.453494533272971,1.25880032979802e-13,0.453494533272971,1.25880032979802e-13,TRUE,TRUE
"CTSB","green",0.907044356648909,9.25420825418822e-92,-0.500709980227108,1.06685376316228e-16,0.500709980227108,1.06685376316228e-16,TRUE,TRUE
"CTSK","green",0.892787230643893,9.75448829610084e-85,-0.417990816773813,1.30940908827907e-11,0.417990816773813,1.30940908827907e-11,TRUE,TRUE
"CTSL","green",0.701107758909212,5.76912902869263e-37,-0.206140534070071,0.00129017042858709,0.206140534070071,0.00129017042858709,TRUE,FALSE
"CTSZ","green",0.687394114472761,4.76021597068067e-35,-0.383229166953947,7.5087711078662e-10,0.383229166953947,7.5087711078662e-10,TRUE,FALSE
"CTTN","green",0.747917925177209,2.00702759144004e-44,-0.434364709060646,1.64411306166503e-12,0.434364709060646,1.64411306166503e-12,TRUE,FALSE
"CTTNBP2NL","green",0.86344210350959,5.60468205695682e-73,-0.544455600595847,5.31166346389588e-20,0.544455600595847,5.31166346389588e-20,TRUE,TRUE
"CYP1B1","green",0.630539581550785,4.05365917668692e-28,-0.223417112239927,0.000474754689579048,0.223417112239927,0.000474754689579048,TRUE,FALSE
"CYTH3","green",0.798951437671966,1.06669551300161e-54,-0.447418813835997,2.8972671586326e-13,0.447418813835997,2.8972671586326e-13,TRUE,FALSE
"DACT1","green",0.776416168386889,7.93841401192396e-50,-0.38714350730476,4.87093721854082e-10,0.38714350730476,4.87093721854082e-10,TRUE,FALSE
"DBN1","green",0.733906643742828,5.01481477418502e-42,-0.478178983818285,3.57290396969358e-15,0.478178983818285,3.57290396969358e-15,TRUE,FALSE
"DCBLD1","green",0.764439812926694,1.83385667683582e-47,-0.440405796854862,7.43069933586741e-13,0.440405796854862,7.43069933586741e-13,TRUE,FALSE
"DCBLD2","green",0.739127442060296,6.68159528332907e-43,-0.476544486072584,4.56400223104173e-15,0.476544486072584,4.56400223104173e-15,TRUE,FALSE
"DGKH","green",0.869730012108499,2.97717951637497e-75,-0.519120428167587,4.96446537138484e-18,0.519120428167587,4.96446537138484e-18,TRUE,TRUE
