"Gene","Module"
"JPH4","blue"
"JSRP1","blue"
"KANK3","blue"
"KASH5","blue"
"KBTBD11","blue"
"KBTBD13","blue"
"KCNA1","blue"
"KCNA6","blue"
"KCNA7","blue"
"KCNC1","blue"
"KCNC3","blue"
"KCNE1","blue"
"KCNE5","blue"
"KCNF1","blue"
"KCNG1","blue"
"KCNG2","blue"
"KCNG4","blue"
"KCNH2","blue"
"KCNH3","blue"
"KCNH4","blue"
"KCNJ12","blue"
"KCNJ14","blue"
"KCNJ4","blue"
"KCNJ9","blue"
"KCNK12","blue"
"KCNK13","blue"
"KCNK15","blue"
"KCNK9","blue"
"KCNT1","blue"
"KCNV1","blue"
"KCTD17","blue"
"KCTD8","blue"
"KDM1B","blue"
"KIAA0586","blue"
"KIAA1614","blue"
"KIF22","blue"
"KIF26A","blue"
"KIF7","blue"
"KIR2DS2","blue"
"KIR3DL3","blue"
"KISS1","blue"
"KISS1R","blue"
"KLC3","blue"
"KLF1","blue"
"KLF14","blue"
"KLF17","blue"
"KLF9","blue"
"KLHDC7A","blue"
"KLHDC7B","blue"
"KLHDC8A","blue"
"KLHL17","blue"
"KLHL20","blue"
"KLHL30","blue"
"KLHL34","blue"
"KLHL40","blue"
"KLK13","blue"
"KLK3","blue"
"KLRA1P","blue"
"KMT5C","blue"
"KNDC1","blue"
"KPLCE","blue"
"KRBA1","blue"
"KREMEN2","blue"
"KRR1","blue"
"KRT33B","blue"
"KRT72","blue"
"KRT86","blue"
"KRTAP10-1","blue"
"KRTAP10-10","blue"
"KRTAP10-12","blue"
"KRTAP10-2","blue"
"KRTAP10-3","blue"
"KRTAP10-4","blue"
"KRTAP10-6","blue"
"KRTAP10-7","blue"
"KRTAP10-8","blue"
"KRTAP12-4","blue"
"KRTAP17-1","blue"
"KRTAP19-3","blue"
"KRTAP4-3","blue"
"KRTAP8-1","blue"
"KRTDAP","blue"
"L1CAM-AS1","blue"
"LACC1","blue"
"LAG3","blue"
"LAGE3","blue"
"LAPTM4A","blue"
"LBX1","blue"
"LBX2","blue"
"LCE1A","blue"
"LCE1D","blue"
"LCE1F","blue"
"LCE3A","blue"
"LCE3B","blue"
"LCE3C","blue"
"LCE5A","blue"
"LCN1","blue"
"LCN10","blue"
"LCN6","blue"
"LCNL1","blue"
"LDB3","blue"
"LDLRAD2","blue"
"LGALS7B","blue"
"LGI3","blue"
"LHFPL4","blue"
"LHX1","blue"
"LHX2","blue"
"LHX3","blue"
"LHX5","blue"
"LHX6","blue"
"LILRP2","blue"
"LIM2","blue"
"LIME1","blue"
"LIN7B","blue"
"LINC00029","blue"
"LINC00115","blue"
"LINC00173","blue"
"LINC00315","blue"
"LINC00319","blue"
"LINC00334","blue"
"LINC00336","blue"
"LINC00477","blue"
"LINC00479","blue"
"LINC00602","blue"
"LINC00661","blue"
"LINC00839","blue"
"LINC00937","blue"
"LINC00955","blue"
"LINC01001","blue"
"LINC01124","blue"
"LINC01164","blue"
"LINC01465","blue"
"LINC01521","blue"
"LINC02076","blue"
"LINC02167","blue"
"LINC02198","blue"
"LINC02610","blue"
"LINC02687","blue"
"LINC02716","blue"
"LINC02870","blue"
"LINC02872","blue"
"LINC02875","blue"
"LINC02897","blue"
"LINC02939","blue"
"LINC02961","blue"
"LINC02983","blue"
"LINGO3","blue"
"LKAAEAR1","blue"
"LMAN1L","blue"
"LMBR1","blue"
"LMBRD2","blue"
"LMNTD2","blue"
"LMO1","blue"
"LMTK3","blue"
"LMX1B","blue"
"LNCRI","blue"
"LNPEP","blue"
"LOC100131496","blue"
"LOC100287792","blue"
"LOC100505502","blue"
"LOC101928957","blue"
"LOC102723701","blue"
"LOC102724194","blue"
"LOC105369183","blue"
"LOC105370686","blue"
"LOC105377139","blue"
"LOC107984399","blue"
"LOC107985946","blue"
"LOC107987020","blue"
"LOC162137","blue"
"LOC220077","blue"
"LOC284912","blue"
"LOC286359","blue"
"LOC375196","blue"
"LOC389199","blue"
"LOC400940","blue"
"LOC403312","blue"
"LOC407835","blue"
"LOC440570","blue"
"LOC441239","blue"
"LOC442028","blue"
"LOC646471","blue"
"LOC652276","blue"
"LOC654780","blue"
"LOC728554","blue"
"LRFN1","blue"
"LRFN4","blue"
"LRIT1","blue"
"LRRC14B","blue"
"LRRC20","blue"
"LRRC26","blue"
"LRRC3","blue"
"LRRC3B","blue"
"LRRC4B","blue"
"LRRC55","blue"
"LRRC56","blue"
"LRRC73","blue"
"LRRFIP2","blue"
"LRRN2","blue"
"LRTM1","blue"
"LRTM2","blue"
"LSG1","blue"
"LSMEM2","blue"
"LTA","blue"
"LTC4S","blue"
"LY6G5C","blue"
"LY6G6E","blue"
"LY6H","blue"
"LY6K","blue"
"LY86-AS1","blue"
"LYL1","blue"
"LYPD2","blue"
"LYSMD2","blue"
"LZTS3","blue"
"MAB21L1","blue"
"MACF1","blue"
"MADCAM1","blue"
"MAFA","blue"
"MAGEB17","blue"
"MAGIX","blue"
"MAMDC4","blue"
"MAML1","blue"
"MAMSTR","blue"
"MAP1LC3C","blue"
